provincial,tie_line,total,new_energy,hydraulic,non_market,rem_power,TEMP,open_price,is_workday,day_0,day_1,day_2,day_3,day_4,day_5,day_6,month_1,month_2,month_3,month_4,month_5,quarter_1,quarter_2,season_1,season_2,log_price
14651,11128.0,19490.09,5799.2,1704.89,4342.86,18274.91,2.22,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.176145817586396
14761,11128.0,19152.77,5461.88,1704.89,4303.52,18722.23,2.36,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.186829830088924
14846,11128.0,18785.13,5094.24,1704.89,4259.44,19174.870000000006,2.5,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.226273788887639
14899,11108.0,18360.74,4659.85,1704.89,4197.69,19642.26,2.64,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.315238645394251
14857,7556.0,17952.94,4213.05,1743.89,4129.76,16456.06,2.78,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.128616564851794
15113,7530.0,17579.27,3604.39,1978.88,4051.76,17059.73,2.92,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.309918278226516
15303,7522.0,16944.95,2946.82,2002.13,3979.61,17876.05,3.06,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.380122536899765
15509,7514.0,16510.95,2227.93,2197.02,3905.97,18598.05,3.19,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.396929655216146
15533,5596.0,15987.9,1655.84,2246.06,4285.83,17227.1,3.33,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.253828811575473
15630,5826.0,15973.79,1291.98,2575.81,4208.3,17588.21,2.36,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.309918278226516
15708,5936.0,15769.46,1066.41,2597.05,4170.45,17980.54,1.39,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.363028103540465
15876,6036.0,15724.92,912.01,2616.91,4134.09,18383.08,0.42,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.363028103540465
15927,5076.0,15761.41,895.99,2669.42,4124.86,17437.589999999997,-0.56,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.363028103540465
16039,5094.0,15848.07,920.63,2731.44,4113.81,17480.93,-1.53,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.363028103540465
16083,5094.0,15897.43,967.95,2733.48,4114.34,17475.57,-2.5,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.363028103540465
16084,5088.0,15959.94,1012.92,2751.02,4104.49,17408.06,-3.47,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.309918278226516
16043,5128.0,16024.05,1058.2,2769.85,4091.98,17342.95,-4.44,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.363028103540465
16044,5116.0,16115.35,1111.83,2807.52,4087.87,17240.649999999998,-5.42,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.309918278226516
16092,5098.0,16176.91,1172.48,2808.43,4084.31,17209.09,-6.39,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.309918278226516
16116,5786.0,16227.84,1226.35,2805.49,4079.83,17870.160000000003,-7.36,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.309918278226516
15994,6412.0,16250.56,1256.93,2797.63,4079.27,18351.44,-8.33,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.309918278226516
16003,6382.0,16278.12,1285.24,2796.88,4076.02,18302.88,-8.47,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.253828811575473
15841,6352.0,16280.05,1314.34,2789.71,4070.35,18088.95,-8.61,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.214608098422191
15834,6322.0,16305.66,1343.87,2785.79,4067.79,18026.34,-8.75,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.214608098422191
15670,6316.0,16240.05,1372.01,2777.04,4058.57,17836.95,-8.89,714.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.214608098422191
15577,6316.0,16231.77,1394.47,2746.3,4050.58,17752.23,-9.03,713.8,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.214608098422191
15531,6316.0,16248.33,1417.7,2739.63,4040.33,17689.67,-9.17,706.6,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.214608098422191
15454,6216.0,16264.5,1444.05,2729.45,4033.49,17496.5,-9.31,708.2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.214608098422191
15254,6282.0,16169.39,1448.9,2719.49,4021.92,17367.61,-9.44,707.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
14893,6282.0,16168.44,1452.18,2715.26,4012.19,17007.559999999998,-9.58,706.4,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
14698,6282.0,15985.85,1463.99,2520.86,4008.23,16995.149999999998,-9.72,707.4,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
14678,6182.0,15916.74,1468.29,2447.45,3997.88,16944.26,-9.86,707.6,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
14234,5340.0,15851.49,1472.33,2388.16,3548.5,15713.509999999998,-10.0,706.8,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
14038,5340.0,15689.01,1475.05,2222.96,3527.86,15679.990000000002,-10.14,706.8,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
13970,5340.0,15628.88,1483.48,2154.4,3517.56,15672.12,-10.28,706.8,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
13748,4640.0,15492.06,1483.48,2017.58,3514.46,14886.94,-10.42,709.5391304347827,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
14005,6554.0,14071.5,337.37,1773.13,3753.65,18448.5,-5.93,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.309918278226516
13539,6550.0,14192.99,348.11,1883.88,3810.73,17857.01,-6.16,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.309918278226516
13475,6546.0,14091.07,364.04,1766.03,3772.33,17890.93,-6.39,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.309918278226516
13483,6442.0,14348.19,387.53,1999.66,3775.49,17537.81,-6.62,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.214608098422191
13440,6438.0,14391.73,402.43,2028.3,3781.3,17447.27,-6.85,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.309918278226516
13565,6430.0,14412.69,419.21,2032.48,3787.92,17543.31,-7.08,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.214608098422191
13527,6426.0,14426.06,434.26,2030.8,3792.06,17487.940000000002,-7.31,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.214608098422191
13627,6320.0,14443.65,455.87,2026.78,3800.19,17464.350000000002,-7.55,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.214608098422191
13522,6312.0,14444.38,458.76,2024.62,3808.77,17350.620000000006,-7.78,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.214608098422191
13584,6306.0,14448.19,459.72,2027.47,3817.82,17402.809999999998,-8.15,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.214608098422191
13555,6298.0,14447.8,460.41,2026.39,3822.4,17366.2,-8.52,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.214608098422191
13549,6298.0,14450.46,462.58,2026.88,3837.53,17357.539999999994,-8.89,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.214608098422191
13516,6300.0,14463.0,456.63,2045.37,3846.0,17314.0,-9.26,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.214608098422191
13559,6300.0,14476.76,449.2,2066.56,3852.16,17343.239999999998,-9.63,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.173786103901937
13493,6290.0,14488.18,442.05,2085.13,3863.51,17255.82,-10.0,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.214608098422191
13605,6290.0,14510.61,431.51,2118.1,3871.07,17345.390000000007,-10.37,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.214608098422191
13478,6272.0,14504.29,423.68,2119.61,3880.33,17206.71,-10.74,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
13418,6242.0,14496.69,417.48,2118.21,3885.34,17124.31,-11.11,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.131226489483141
13389,6212.0,14490.95,412.55,2117.4,3892.83,17071.05,-11.48,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.131226489483141
13473,6172.0,14489.04,408.74,2119.3,3901.47,17116.96,-11.85,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.1092475827643655
13338,6152.0,14479.17,401.64,2116.53,3904.12,16971.83,-12.22,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.214608098422191
13364,6132.0,14474.69,395.32,2118.37,3909.77,16982.31,-12.27,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.173786103901937
13429,6102.0,14472.58,391.99,2119.59,3915.8,17019.42,-12.31,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.304212942799415
13721,6072.0,14581.26,388.82,2141.44,3918.62,17262.74,-12.36,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.219929912416168
13637,6080.0,14629.07,389.92,2188.15,3919.46,17138.93,-12.41,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.214608098422191
13714,6080.0,14665.3,390.83,2223.47,3924.43,17179.699999999993,-12.45,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.309918278226516
14181,6100.0,14674.67,393.58,2230.09,3934.55,17657.329999999998,-12.5,709.5391304347827,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,6.309918278226516
